timestamp,latency_seconds
1775591163751,0.002592
1775591164981,0.002074
1775591166214,0.208803
1775591167656,0.001802
1775591168882,0.203659
1775591170319,0.002449
1775591171559,0.001820
1775591172775,0.207109
1775591174223,1.439556
1775591176904,1.047521
1775591179228,0.001276
1775591180465,0.002290
1775591181703,0.004059
1775591182950,0.004244
1775591184169,0.001260
1775591185411,0.002229
1775591186683,0.001419
1775591187919,0.001136
1775591189157,0.002260
1775591190393,0.001662
1775591191635,0.001337
1775591192880,0.001928
1775591194141,0.001970
1775591195399,1.003765
1775591197656,0.001797
1775591198899,0.001683
1775591200125,1.052914
1775591202394,0.205949
1775591203848,1.018207
1775591206105,0.001330
1775591207342,0.001788
1775591208584,1.011248
1775591210848,0.001908
1775591212085,0.001849
1775591213294,2.058439
1775591216601,0.001607
1775591217846,0.002025
1775591219099,0.208823
1775591220560,0.002120
1775591221811,0.002001
