timestamp,latency_seconds
1775591041572,0.002526
1775591042826,0.001256
1775591044077,0.001681
1775591045317,0.001746
1775591046561,0.001703
1775591047802,0.001641
1775591049082,0.001550
1775591050327,0.001716
1775591051576,0.001820
1775591052836,0.002337
1775591054070,0.003812
1775591055321,0.002042
1775591056577,0.001702
1775591057813,0.003221
1775591059076,0.001111
1775591060316,0.001425
1775591061546,0.001424
1775591062812,0.001411
1775591064050,0.002067
1775591065299,0.001351
1775591066544,0.002605
1775591067802,0.001516
1775591069026,0.001166
1775591070274,0.002244
1775591071517,0.002669
1775591072771,0.001601
1775591074077,0.001414
1775591075314,0.001721
1775591076563,0.002687
1775591077805,0.001901
1775591079042,0.001541
1775591080285,0.001412
1775591081527,0.001880
1775591082770,0.002218
1775591083996,0.001349
1775591085238,0.002458
1775591086477,0.001471
1775591087718,0.001388
1775591088947,0.001718
1775591090182,0.001802
1775591091401,0.001659
1775591092641,0.001872
1775591093869,0.001451
1775591095104,0.001615
1775591096328,0.001491
1775591097567,0.001777
1775591098905,0.001609
1775591100176,0.001833
