timestamp,latency_seconds
1775591224643,0.002593
1775591225930,0.001343
1775591227172,0.001392
1775591228390,0.001484
1775591229629,0.001958
1775591230888,0.001815
1775591232134,0.002189
1775591233374,0.004381
1775591234611,0.001406
1775591235881,0.004099
1775591237127,0.001624
1775591238363,0.001365
1775591239584,0.002763
1775591240823,0.001944
1775591242084,0.002147
1775591243322,0.003646
1775591244612,0.002308
1775591245909,0.001775
1775591247146,0.001808
1775591248427,0.001583
1775591249677,0.003396
1775591250933,0.001615
1775591252224,0.001858
1775591253506,0.003536
1775591254789,0.001771
1775591256057,0.001341
1775591257295,0.001401
1775591258606,0.001683
1775591259914,0.001633
1775591261225,0.002719
1775591262527,0.003073
1775591263812,0.002217
1775591265187,0.001264
1775591266438,0.001531
1775591267677,0.001548
1775591268984,0.001778
1775591270266,0.002222
1775591271535,0.002202
1775591272770,0.003874
1775591274022,0.001819
1775591275269,0.001851
1775591276541,0.002201
1775591277797,0.001655
1775591279076,0.001417
1775591280316,0.002129
1775591281571,0.003207
1775591282815,0.001373
