timestamp,latency_seconds
1775591102158,0.402618
1775591103814,0.403479
1775591105499,0.402231
1775591107159,0.401949
1775591108804,0.403079
1775591110443,0.402407
1775591112084,0.401945
1775591113735,0.404053
1775591115379,0.402634
1775591117019,0.401790
1775591118694,0.401687
1775591120341,0.402945
1775591121971,0.401680
1775591123612,0.402211
1775591125250,0.402217
1775591126879,0.403123
1775591128533,0.403525
1775591130183,0.402000
1775591131827,0.401789
1775591133467,0.403232
1775591135107,0.402476
1775591136781,0.402258
1775591138471,0.403525
1775591140107,0.403034
1775591141785,0.402169
1775591143407,0.402178
1775591145041,0.402567
1775591146682,0.404499
1775591148306,0.405225
1775591149977,0.402513
1775591151608,0.402493
1775591153242,0.402142
1775591154883,0.402767
1775591156533,0.401958
1775591158180,0.402416
1775591159829,0.403022
1775591161473,0.402325
