timestamp,speed_bytes_per_sec
1775591224629,194360704
1775591227992,389660349
1775591231247,289342163
1775591234485,287675171
1775591237712,429040916
1775591240959,447344709
1775591244254,308586227
1775591247520,502432199
1775591250763,448876712
1775591254096,424524696
1775591257391,297215419
1775591260686,304730020
1775591263978,435455149
1775591267317,398849752
1775591270579,241663056
1775591273875,251758943
1775591277156,206738170
1775591280436,322143164
1775591283701,381023255
